"tone","year"
-2.4872922171031506,1920
5.800604546830735,1979
4.910926825052041,1980
5.4052558421549595,1981
5.516613765033902,1982
6.222438965639135,1983
5.072558681040915,1984
5.118543729144395,1985
4.431933199348326,1986
4.664327512899854,1987
4.933356165956167,1988
4.73333885398576,1989
4.908409056645666,1990
5.285271376659245,1991
4.534250224440395,1992
4.574348770695046,1993
4.752100790300773,1994
4.5532966203702925,1995
4.76144802075068,1996
5.2760504607234004,1997
5.27703529824193,1998
5.03446068508194,1999
4.8176966252460485,2000
5.073171860512483,2001
5.521374215342584,2002
4.971341707952757,2003
5.241074549325224,2004
4.801248223977079,2005
4.767911539625608,2006
4.7160345914456,2007
4.652025265678773,2008
4.388279670657786,2009
5.460584545080387,2010
4.9281208071383364,2011
4.315582248128622,2012
2.3029753794591006,2013
1.8877527666175036,2014
-2.6103530410923756,2015
-3.7199502620837515,2016
-3.5372171689700123,2017
-3.9144714165058687,2018
-2.9773869238348234,2019
-3.474871235843399,2020
-3.732796811757293,2021
-3.934676756197927,2022
